name,price,type,efficiency,wattage,modular,color,brand,slug
850 GQ,84.99,ATX,gold,850,Semi,,EVGA,evga-850-gq-850-gold
Li EDGE GOLD,481.17,ATX,gold,1000,Full,Black,Lian,lian-li-edge-gold-1000-gold
TUF Gaming 1000G,194.99,ATX,gold,1000,Full,White,Asus,asus-tuf-gaming-1000g-1000-gold
Toughpower GX3,91.99,ATX,gold,850,Non-modular,Black,Thermaltake,thermaltake-toughpower-gx3-850-gold
ROG THOR P2 Gaming,359.99,ATX,platinum,1000,Full,Silver / Black,Asus,asus-rog-thor-p2-gaming-1000-platinum
Toughpower GF3 TT Premium,185.99,ATX,gold,1200,Full,Black,Thermaltake,thermaltake-toughpower-gf3-tt-premium-1200-gold
Toughpower GF A3 - TT Premium Edition,100.09,ATX,gold,850,Full,Black,Thermaltake,thermaltake-toughpower-gf-a3-tt-premium-edition-850-gold
CX650 (2017),147.24,ATX,bronze,650,Non-modular,,Corsair,corsair-cx650-2017-650-bronze
Master V SFX Gold ATX 3.0,139.99,SFX,gold,850,Full,Black,Cooler,cooler-master-v-sfx-gold-atx-3-0-850-gold
TUF Gaming 1200G,217.99,ATX,gold,1200,Full,Black,Asus,asus-tuf-gaming-1200g-1200-gold
DA850R-GMA,173.99,ATX,gold,850,Full,Black,Silverstone,silverstone-da850r-gma-850-gold
RM750e (2022),175.0,ATX,gold,750,Full,Black,Corsair,corsair-rm750e-2022-750-gold
HX1200 Platinum,405.0,ATX,platinum,1200,Full,,Corsair,corsair-hx1200-platinum-1200-platinum
quiet! Pure Power 13 M,109.9,ATX,gold,750,Full,Black,be,be-quiet-pure-power-13-m-750-gold
FOCUS Plus 650 Gold,150.8,ATX,gold,650,Full,,SeaSonic,seasonic-focus-plus-650-gold-650-gold
UD750GM-A,89.99,ATX,gold,750,Full,Black,Gigabyte,gigabyte-ud750gm-a-750-gold
Extreme 500 Bronze,106.64,SFX,bronze,500,Non-modular,Black / White,Silverstone,silverstone-extreme-500-bronze-500-bronze
quiet! Pure Power 12,107.98,ATX,gold,750,Non-modular,Black,be,be-quiet-pure-power-12-750-gold
XPG PYLON,102.51,ATX,bronze,550,Non-modular,Black,ADATA,adata-xpg-pylon-550-bronze
C1200,259.99,ATX,gold,1200,Full,Black,NZXT,nzxt-c1200-1200-gold
Li EDGE GOLD,539.37,ATX,gold,1200,Full,White,Lian,lian-li-edge-gold-1200-gold
MAG A850GL PCIE5 II,129.99,ATX,gold,850,Full,Black,MSI,msi-mag-a850gl-pcie5-ii-850-gold
650 N1,64.98,ATX,,650,Non-modular,,EVGA,evga-650-n1-650-nan
Master V850 SFX GOLD,169.99,SFX,gold,850,Full,White,Cooler,cooler-master-v850-sfx-gold-850-gold
quiet! SFX L Power,203.42,SFX,gold,600,Full,Black,be,be-quiet-sfx-l-power-600-gold
HX1000 Platinum,405.0,ATX,platinum,1000,Full,,Corsair,corsair-hx1000-platinum-1000-platinum
Li EDGE GOLD,534.05,ATX,gold,1200,Full,Black,Lian,lian-li-edge-gold-1200-gold
Focus GX V4 ATX 3 (2024),207.99,ATX,gold,1000,Full,White,SeaSonic,seasonic-focus-gx-v4-atx-3-2024-1000-gold
FX500-G,157.08,Flex ATX,gold,500,Non-modular,Black,Silverstone,silverstone-fx500-g-500-gold
GV1000,129.99,ATX,gold,1000,Full,White,Vetroo,vetroo-gv1000-1000-gold
