name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
Timetec PINNACLE Konduit 32 GB,,"2,16",,Black,10.0,18.0,DDR4,3600,timetec-pinnacle-konduit-32-gb-ddr4-3600
Kingston FURY Beast RGB 64 GB,244.99,"2,32",3.828,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-rgb-64-gb-ddr5-6000
Corsair Vengeance RGB 64 GB,217.99,"2,32",3.406,Black,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-64-gb-ddr5-6000
Corsair Vengeance 192 GB,614.99,"4,48",3.203,Black,14.615,38.0,DDR5,5200,corsair-vengeance-192-gb-ddr5-5200
G.Skill Trident Z5 RGB 64 GB,254.99,"2,32",3.984,Black,10.0,34.0,DDR5,6800,g-skill-trident-z5-rgb-64-gb-ddr5-6800
TEAMGROUP T-Force Vulcan 32 GB,82.99,"2,16",2.593,Black,12.667,38.0,DDR5,6000,teamgroup-t-force-vulcan-32-gb-ddr5-6000
G.Skill Trident Z5 Neo 32 GB,116.99,"2,16",3.656,Black,10.0,30.0,DDR5,6000,g-skill-trident-z5-neo-32-gb-ddr5-6000
G.Skill Aegis 16 GB,44.99,"2,8",2.812,Red / Black,10.0,16.0,DDR4,3200,g-skill-aegis-16-gb-ddr4-3200
PNY XLR8 32 GB,59.99,"2,16",1.875,Black,10.0,18.0,DDR4,3600,pny-xlr8-32-gb-ddr4-3600
TEAMGROUP Elite 16 GB,28.99,"2,8",1.812,Black,14.254,19.0,DDR4,2666,teamgroup-elite-16-gb-ddr4-2666
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"2,16",3.125,Black,10.0,30.0,DDR5,6000,silicon-power-xpower-zenith-rgb-gaming-32-gb-ddr5-6000
G.Skill Ripjaws S5 32 GB,89.99,"2,16",2.812,Black,12.0,36.0,DDR5,6000,g-skill-ripjaws-s5-32-gb-ddr5-6000
OLOy ND4U1632161DJ0DA 32 GB,69.99,"2,16",2.187,Black,10.0,16.0,DDR4,3200,oloy-nd4u1632161dj0da-32-gb-ddr4-3200
Corsair Vengeance RGB Pro 32 GB,142.99,"2,16",4.468,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-32-gb-ddr4-3200
ADATA XPG Lancer Blade 32 GB,152.21,"2,16",4.757,Black,10.0,30.0,DDR5,6000,adata-xpg-lancer-blade-32-gb-ddr5-6000
G.Skill Ripjaws V 32 GB,73.98,"2,16",2.312,Black,10.0,18.0,DDR4,3600,g-skill-ripjaws-v-32-gb-ddr4-3600
Crucial Pro 64 GB,171.34,"2,32",2.677,Black,13.333,40.0,DDR5,6000,crucial-pro-64-gb-ddr5-6000
Silicon Power XPOWER Turbine 16 GB,33.97,"2,8",2.123,Blue,10.0,16.0,DDR4,3200,silicon-power-xpower-turbine-16-gb-ddr4-3200
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"2,32",4.062,Silver,10.0,30.0,DDR5,6000,g-skill-trident-z5-royal-neo-rgb-64-gb-ddr5-6000
Crucial CT16G48C40U5 16 GB,38.86,"1,16",2.429,Black,16.667,40.0,DDR5,4800,crucial-ct16g48c40u5-16-gb-ddr5-4800
Patriot Viper Steel 64 GB,164.99,"2,32",2.578,Silver / Black,10.0,18.0,DDR4,3600,patriot-viper-steel-64-gb-ddr4-3600
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"2,16",4.218,Black,9.375,30.0,DDR5,6400,g-skill-trident-z5-neo-rgb-32-gb-ddr5-6400
Klevv FIT V 32 GB,84.99,"2,16",2.656,White,10.667,32.0,DDR5,6000,klevv-fit-v-32-gb-ddr5-6000
TEAMGROUP T-Create Expert 32 GB,72.99,"2,16",2.281,White,12.667,38.0,DDR5,6000,teamgroup-t-create-expert-32-gb-ddr5-6000
G.Skill Trident Z5 Neo RGB 32 GB,,"2,16",,Black,8.667,26.0,DDR5,6000,g-skill-trident-z5-neo-rgb-32-gb-ddr5-6000
Kingston FURY Beast RGB 16 GB,75.98,"2,8",4.749,Black,12.0,36.0,DDR5,6000,kingston-fury-beast-rgb-16-gb-ddr5-6000
Corsair Vengeance 32 GB,114.99,"2,16",3.593,Black,10.0,32.0,DDR5,6400,corsair-vengeance-32-gb-ddr5-6400
Corsair Vengeance RGB 96 GB,349.99,"2,48",3.646,Black / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-96-gb-ddr5-6000
Corsair Vengeance RGB 32 GB,194.99,"2,16",6.093,Black / Gray,9.0,36.0,DDR5,8000,corsair-vengeance-rgb-32-gb-ddr5-8000
Corsair Vengeance LPX 32 GB,160.99,"2,16",5.031,Black / Yellow,10.0,18.0,DDR4,3600,corsair-vengeance-lpx-32-gb-ddr4-3600
Patriot Viper Xtreme 5 32 GB,134.99,"2,16",4.218,Black,9.268,38.0,DDR5,8200,patriot-viper-xtreme-5-32-gb-ddr5-8200
