name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
Corsair Vengeance RGB 32 GB,320.0,2,4.625,Black,9.333,28.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,4.625,Black,9.333,28.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance LPX 16 GB,90.0,2,5.749,Black,10.0,18.0,DDR4,3600.0,corsair-vengeance-lpx-16-gb-ddr4-3600,16,89.4
Corsair Vengeance RGB Pro 16 GB,95.0,2,6.119,White,10.0,16.0,DDR4,3200.0,corsair-vengeance-rgb-pro-16-gb-ddr4-3200,16,80.5
Corsair Vengeance RGB 32 GB,320.0,2,4.531,White / Silver,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,4.531,White / Silver,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance RGB Pro 32 GB,150.0,2,2.593,Black,10.0,16.0,DDR4,3200.0,corsair-vengeance-rgb-pro-32-gb-ddr4-3200,32,88.5
Corsair Vengeance LPX 8 GB,35.0,1,4.624,Black / Yellow,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,76.5
Corsair Vengeance LPX 8 GB,35.0,1,4.624,Black / Yellow,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,71.1
Corsair Vengeance LPX 8 GB,35.0,1,4.624,Black / Yellow,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,41.6
Corsair Vengeance LPX 8 GB,35.0,1,4.624,Black / Yellow,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,41.6
Corsair Vengeance LPX 8 GB,35.0,1,4.624,Black / Yellow,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,38.7
Corsair Vengeance RGB Pro 32 GB,150.0,2,4.468,White,10.0,16.0,DDR4,3200.0,corsair-vengeance-rgb-pro-32-gb-ddr4-3200,32,88.5
