name,price,socket,form_factor,max_memory,memory_slots,color,slug
ASRock B550 Phantom Gaming-ITX/ax,149.99,AM4,Mini ITX,64,2,Silver / Black,b550-phantom-gaming-itx-ax
Asus Z790-AYW WIFI W II,189.99,LGA1700,ATX,192,4,White,z790-ayw-wifi-w-ii
ASRock B850M Riptide WiFi,169.99,AM5,Micro ATX,256,4,Black,b850m-riptide-wifi
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black,b760m-ds3h-ddr4
Asus TUF GAMING B760M-PLUS WIFI II,263.77,LGA1700,Micro ATX,192,4,Black / Orange,tuf-gaming-b760m-plus-wifi-ii
Gigabyte B650M AORUS ELITE AX ICE,199.99,AM5,Micro ATX,192,4,Silver,b650m-aorus-elite-ax-ice
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black,prime-h610i-plus-d4-csm
Asus PRIME B760M-A AX,131.74,LGA1700,Micro ATX,128,4,Silver / Black,prime-b760m-a-ax
Gigabyte B550M DS3H,137.64,AM4,Micro ATX,128,4,Black / Gold,b550m-ds3h
MSI PRO B650-P WIFI,169.99,AM5,ATX,192,4,Black,pro-b650-p-wifi
ASRock B650M-H/M.2+,99.99,AM5,Micro ATX,96,2,Silver / Black,b650m-h-m-2
ASRock X870 Steel Legend WiFi,259.99,AM5,ATX,256,4,White,x870-steel-legend-wifi
Asus ROG MAXIMUS Z790 DARK HERO,999.99,LGA1700,ATX,192,4,Black,rog-maximus-z790-dark-hero
Gigabyte Z790 AORUS ELITE X WIFI7,239.99,LGA1700,ATX,192,4,Black,z790-aorus-elite-x-wifi7
ASRock H610M/ac,89.99,LGA1700,Micro ATX,64,2,Silver / Black,h610m-ac
Gigabyte B650I AORUS ULTRA,237.0,AM5,Mini ITX,96,2,Black / Silver,b650i-aorus-ultra
Gigabyte A620M S2H,110.82,AM5,Micro ATX,96,2,Gray / Black,a620m-s2h
Gigabyte Z890 EAGLE WIFI7,224.27,LGA1851,ATX,256,4,Silver / Black,z890-eagle-wifi7
Asus ROG STRIX B450-F GAMING II,269.27,AM4,ATX,128,4,Black,rog-strix-b450-f-gaming-ii
Asus ROG STRIX X870-F GAMING WIFI,419.99,AM5,ATX,192,4,Black,rog-strix-x870-f-gaming-wifi
Gigabyte B450M DS3H,153.26,AM4,Micro ATX,128,4,Black / Silver,b450m-ds3h
Asus PRIME B840-PLUS WIFI,149.99,AM5,ATX,192,4,Silver / Black,prime-b840-plus-wifi
ASRock B850 LiveMixer WiFi,189.99,AM5,ATX,256,4,Silver / Black,b850-livemixer-wifi
Asus TUF GAMING B550M-PLUS WIFI II,199.99,AM4,Micro ATX,128,4,Black / Gray,tuf-gaming-b550m-plus-wifi-ii
ASRock B450M PRO4 R2.0,99.99,AM4,Micro ATX,128,4,Gray / Black,b450m-pro4-r2-0
ASRock B660M Pro RS,107.99,LGA1700,Micro ATX,128,4,Gray / Black,b660m-pro-rs
ASRock A620M Pro RS WiFi,148.93,AM5,Micro ATX,256,4,Silver / Black,a620m-pro-rs-wifi
Asus ROG STRIX X670E-E GAMING WIFI,384.0,AM5,ATX,192,4,Black / Silver,rog-strix-x670e-e-gaming-wifi
Asus ROG STRIX B550-F GAMING,219.99,AM4,ATX,128,4,Black,rog-strix-b550-f-gaming
ASRock B550M-HDV,89.99,AM4,Micro ATX,64,2,Black,b550m-hdv
MSI PRO Z890-P WIFI,189.99,LGA1851,ATX,256,4,Black / Silver,pro-z890-p-wifi
MSI PRO B650-A WIFI,169.99,AM5,ATX,256,4,Black / Silver,pro-b650-a-wifi
ASRock B850M-X WiFi,124.99,AM5,Micro ATX,128,2,Black / White,b850m-x-wifi
Gigabyte B550M AORUS ELITE,134.0,AM4,Micro ATX,128,4,Black / Orange,b550m-aorus-elite
ASRock Phantom Gaming X870 Riptide WiFi,249.99,AM5,ATX,256,4,Black / Purple,phantom-gaming-x870-riptide-wifi
Asus PRIME B650M-A WIFI II,237.07,AM5,Micro ATX,192,4,Black / Silver,prime-b650m-a-wifi-ii
MSI MPG B850 EDGE TI WIFI,309.99,AM5,ATX,256,4,Silver / White,mpg-b850-edge-ti-wifi
MSI PRO B760M-A WIFI DDR4,154.99,LGA1700,Micro ATX,128,4,Black,pro-b760m-a-wifi-ddr4
Gigabyte B550M GAMING X WIFI6,154.99,AM4,Micro ATX,128,4,Gray / Black,b550m-gaming-x-wifi6
MSI B650M PROJECT ZERO,229.99,AM5,Micro ATX,256,4,Silver / Black,b650m-project-zero
Gigabyte B760 GAMING X AX,239.94,LGA1700,ATX,192,4,Black / Gray,b760-gaming-x-ax
Asus ROG STRIX B450-F GAMING,129.99,AM4,ATX,128,4,Black,rog-strix-b450-f-gaming
Asus B760M-AYW WIFI D4 II,99.99,LGA1700,Micro ATX,64,2,Black / Silver,b760m-ayw-wifi-d4-ii
ASRock X870E Taichi Lite,299.99,AM5,EATX,256,4,Black / Silver,x870e-taichi-lite
MSI MPG Z790 CARBON MAX WIFI II,469.99,LGA1700,ATX,256,4,Black,mpg-z790-carbon-max-wifi-ii
NZXT N9 X870E,459.99,AM5,ATX,192,4,Black,nzxt-n9-x870e
Asus ROG CROSSHAIR X870E APEX,749.99,AM5,ATX,128,2,Black,rog-crosshair-x870e-apex
Asus ROG STRIX Z890-E GAMING WIFI,424.0,LGA1851,ATX,192,4,Black,rog-strix-z890-e-gaming-wifi
Asus TUF GAMING X670E-PLUS WIFI,235.99,AM5,ATX,192,4,Black / Orange,tuf-gaming-x670e-plus-wifi
Gigabyte B650I AX,223.75,AM5,Mini ITX,96,2,Black,b650i-ax
Asus ROG STRIX Z790-E GAMING WIFI,399.99,LGA1700,ATX,192,4,Black,rog-strix-z790-e-gaming-wifi
Gigabyte B650 GAMING X AX,166.63,AM5,ATX,192,4,Black / Gray,b650-gaming-x-ax
ASRock B660M-HDV,107.51,LGA1700,Micro ATX,64,2,Gray / Black,b660m-hdv
Gigabyte X670 AORUS ELITE AX,239.99,AM5,ATX,192,4,Black,x670-aorus-elite-ax
MSI PRO B850M-P WIFI,179.99,AM5,Micro ATX,256,4,Black / Silver,pro-b850m-p-wifi
Gigabyte B450M K,99.95,AM4,Micro ATX,64,2,Brown / Silver,b450m-k
Gigabyte X870E AORUS ELITE WIFI7 ICE,329.99,AM5,ATX,256,4,White,x870e-aorus-elite-wifi7-ice
Gigabyte X870E AORUS XTREME AI TOP,799.99,AM5,EATX,256,4,Black,x870e-aorus-xtreme-ai-top
ASRock B860I WiFi,159.99,LGA1851,Mini ITX,128,2,Black,b860i-wifi
Asus TUF GAMING B650-PLUS,159.99,AM5,ATX,128,4,Black / Orange,tuf-gaming-b650-plus
Gigabyte B650M S2H,147.47,AM5,Micro ATX,96,2,Black / Gray,b650m-s2h
MSI B550M PRO-VDH,153.09,AM4,Micro ATX,128,4,Black,b550m-pro-vdh
ASRock B450M Steel Legend,92.67,AM4,Micro ATX,64,4,Black / White,b450m-steel-legend
